sequence                                   ,obj,  J&F,    J,    F
Global score                               ,   , 96.7, 94.4, 98.9
aachen__aachen_1                           ,002, 98.3, 97.3, 99.2
aachen__aachen_1                           ,003, 95.9, 92.8, 99.0
aachen__aachen_1                           ,004, 98.3, 96.5, 100.0
aachen__aachen_1                           ,005, 97.5, 96.3, 98.7
aachen__aachen_1                           ,006, 96.6, 93.2, 100.0
aachen__aachen_1                           ,007, 99.8, 99.8, 99.8
aachen__aachen_1                           ,008, 96.4, 92.8, 100.0
aachen__aachen_10                          ,002, 92.0, 87.9, 96.0
aachen__aachen_10                          ,003, 88.0, 82.5, 93.4
aachen__aachen_10                          ,004, 96.9, 93.9, 99.9
aachen__aachen_10                          ,005, 95.5, 91.9, 99.0
aachen__aachen_10                          ,006, 93.0, 85.9, 100.0
aachen__aachen_10                          ,007, 99.8, 99.7, 100.0
aachen__aachen_10                          ,008, 97.8, 96.0, 99.5
aachen__aachen_11                          ,002, 97.4, 96.7, 98.1
aachen__aachen_11                          ,003, 96.0, 92.0, 100.0
aachen__aachen_11                          ,004, 96.0, 93.3, 98.8
aachen__aachen_11                          ,005, 97.7, 95.8, 99.5
aachen__aachen_11                          ,006, 94.7, 89.3, 100.0
aachen__aachen_11                          ,007, 99.7, 99.8, 99.6
aachen__aachen_11                          ,008, 96.8, 93.5, 100.0
aachen__aachen_12                          ,002, 94.3, 90.6, 97.9
aachen__aachen_12                          ,003, 94.1, 89.5, 98.7
aachen__aachen_12                          ,004, 98.0, 96.1, 100.0
aachen__aachen_12                          ,005, 97.3, 94.9, 99.8
aachen__aachen_12                          ,006, 86.5, 72.9, 100.0
aachen__aachen_12                          ,007, 99.3, 99.5, 99.2
aachen__aachen_12                          ,008, 98.3, 96.7, 100.0
aachen__aachen_13                          ,002, 94.2, 91.8, 96.7
aachen__aachen_13                          ,003, 93.8, 89.9, 97.7
aachen__aachen_13                          ,004, 98.3, 96.6, 100.0
aachen__aachen_13                          ,005, 96.4, 94.3, 98.6
aachen__aachen_13                          ,006, 97.0, 93.9, 100.0
aachen__aachen_13                          ,007, 99.8, 99.7, 100.0
aachen__aachen_13                          ,008, 98.6, 97.2, 100.0
aachen__aachen_14                          ,002, 96.9, 94.2, 99.5
aachen__aachen_14                          ,003, 92.6, 85.7, 99.6
aachen__aachen_14                          ,004, 98.6, 97.2, 100.0
aachen__aachen_14                          ,005, 97.8, 95.7, 99.9
aachen__aachen_14                          ,006, 79.4, 58.8, 100.0
aachen__aachen_14                          ,007, 99.8, 99.6, 100.0
aachen__aachen_14                          ,008, 96.6, 93.3, 100.0
aachen__aachen_15                          ,002, 95.9, 93.5, 98.3
aachen__aachen_15                          ,003, 98.2, 96.7, 99.8
aachen__aachen_15                          ,004, 98.4, 96.7, 100.0
aachen__aachen_15                          ,005, 99.1, 98.5, 99.8
aachen__aachen_15                          ,006, 91.6, 87.6, 95.6
aachen__aachen_15                          ,007, 99.4, 99.3, 99.5
aachen__aachen_15                          ,008, 98.7, 97.5, 99.9
aachen__aachen_16                          ,002, 95.5, 91.4, 99.7
aachen__aachen_16                          ,003, 91.3, 83.9, 98.8
aachen__aachen_16                          ,004, 98.3, 96.5, 100.0
aachen__aachen_16                          ,005, 97.2, 94.4, 100.0
aachen__aachen_16                          ,006, 85.9, 71.9, 100.0
aachen__aachen_16                          ,008, 97.4, 94.9, 100.0
aachen__aachen_18                          ,002, 95.3, 91.0, 99.5
aachen__aachen_18                          ,003, 94.2, 89.0, 99.4
aachen__aachen_18                          ,004, 98.2, 96.4, 100.0
aachen__aachen_18                          ,005, 97.8, 95.9, 99.7
aachen__aachen_18                          ,007, 99.7, 99.7, 99.8
aachen__aachen_18                          ,008, 98.1, 96.2, 100.0
aachen__aachen_19                          ,002, 97.0, 94.3, 99.7
aachen__aachen_19                          ,003, 95.2, 90.8, 99.6
aachen__aachen_19                          ,004, 98.7, 97.3, 100.0
aachen__aachen_19                          ,005, 96.8, 93.6, 99.9
aachen__aachen_19                          ,008, 98.4, 96.8, 99.9
aachen__aachen_2                           ,002, 98.3, 97.0, 99.6
aachen__aachen_2                           ,003, 94.1, 88.6, 99.6
aachen__aachen_2                           ,004, 96.6, 93.3, 100.0
aachen__aachen_2                           ,005, 98.8, 97.6, 100.0
aachen__aachen_2                           ,006, 96.5, 92.9, 100.0
aachen__aachen_2                           ,007, 99.9, 99.8, 100.0
aachen__aachen_2                           ,008, 98.8, 97.6, 100.0
aachen__aachen_21                          ,002, 96.2, 92.5, 99.8
aachen__aachen_21                          ,003, 94.4, 89.1, 99.8
aachen__aachen_21                          ,004, 97.9, 95.7, 100.0
aachen__aachen_21                          ,005, 97.0, 94.2, 99.8
aachen__aachen_21                          ,007, 99.7, 99.3, 100.0
aachen__aachen_21                          ,008, 97.1, 94.1, 100.0
aachen__aachen_22                          ,002, 96.2, 93.7, 98.8
aachen__aachen_22                          ,003, 94.3, 91.0, 97.6
aachen__aachen_22                          ,004, 98.1, 96.4, 99.8
aachen__aachen_22                          ,005, 96.0, 92.2, 99.9
aachen__aachen_22                          ,006, 91.7, 83.4, 100.0
aachen__aachen_22                          ,007, 99.7, 99.7, 99.8
aachen__aachen_22                          ,008, 97.7, 95.4, 100.0
aachen__aachen_24                          ,002, 98.3, 97.0, 99.6
aachen__aachen_24                          ,003, 98.2, 96.4, 100.0
aachen__aachen_24                          ,004, 97.5, 94.9, 100.0
aachen__aachen_24                          ,005, 99.0, 98.4, 99.7
aachen__aachen_24                          ,006, 98.8, 97.6, 100.0
aachen__aachen_24                          ,007, 99.8, 99.7, 99.9
aachen__aachen_24                          ,008, 98.7, 97.4, 100.0
aachen__aachen_26                          ,002, 94.7, 90.1, 99.3
aachen__aachen_26                          ,003, 96.1, 93.4, 98.9
aachen__aachen_26                          ,004, 98.0, 96.4, 99.6
aachen__aachen_26                          ,005, 95.3, 90.8, 99.7
aachen__aachen_26                          ,008, 99.2, 98.4, 99.9
aachen__aachen_27                          ,002, 94.4, 89.2, 99.6
aachen__aachen_27                          ,003, 93.5, 88.4, 98.7
aachen__aachen_27                          ,004, 98.0, 95.9, 100.0
aachen__aachen_27                          ,005, 94.6, 89.6, 99.7
aachen__aachen_27                          ,006, 97.9, 95.9, 100.0
aachen__aachen_27                          ,007, 99.6, 99.4, 99.8
aachen__aachen_27                          ,008, 97.0, 94.1, 99.8
aachen__aachen_28                          ,002, 98.9, 97.7, 100.0
aachen__aachen_28                          ,003, 98.2, 96.4, 100.0
aachen__aachen_28                          ,005, 69.7, 39.4, 100.0
aachen__aachen_28                          ,007, 99.9, 99.9, 100.0
aachen__aachen_28                          ,008, 99.0, 98.1, 100.0
aachen__aachen_29                          ,002, 98.0, 96.9, 99.1
aachen__aachen_29                          ,003, 97.5, 97.7, 97.2
aachen__aachen_29                          ,005, 99.3, 98.7, 99.8
aachen__aachen_29                          ,007, 99.7, 99.5, 100.0
aachen__aachen_29                          ,008, 97.6, 95.3, 100.0
aachen__aachen_30                          ,002, 96.5, 93.4, 99.6
aachen__aachen_30                          ,003, 93.8, 88.4, 99.1
aachen__aachen_30                          ,004, 98.4, 96.9, 100.0
aachen__aachen_30                          ,005, 97.9, 96.0, 99.9
aachen__aachen_30                          ,006, 92.7, 85.4, 100.0
aachen__aachen_30                          ,008, 98.1, 96.2, 100.0
aachen__aachen_31                          ,002, 95.3, 91.2, 99.4
aachen__aachen_31                          ,003, 94.9, 90.4, 99.4
aachen__aachen_31                          ,004, 97.7, 95.4, 100.0
aachen__aachen_31                          ,005, 93.9, 88.5, 99.4
aachen__aachen_31                          ,006, 83.9, 67.7, 100.0
aachen__aachen_31                          ,008, 98.4, 96.9, 99.9
aachen__aachen_32                          ,002, 89.9, 81.0, 98.7
aachen__aachen_32                          ,003, 94.5, 90.2, 98.8
aachen__aachen_32                          ,004, 97.5, 95.4, 99.6
aachen__aachen_32                          ,005, 94.6, 90.3, 99.0
aachen__aachen_32                          ,008, 99.2, 98.4, 99.9
aachen__aachen_33                          ,002, 94.0, 89.1, 99.0
aachen__aachen_33                          ,003, 96.0, 92.8, 99.1
aachen__aachen_33                          ,004, 97.5, 95.1, 100.0
aachen__aachen_33                          ,005, 96.6, 93.2, 100.0
aachen__aachen_33                          ,006, 86.2, 72.5, 100.0
aachen__aachen_33                          ,008, 98.9, 97.8, 100.0
aachen__aachen_35                          ,002, 97.9, 96.2, 99.7
aachen__aachen_35                          ,003, 93.7, 88.4, 99.1
aachen__aachen_35                          ,004, 98.5, 97.1, 100.0
aachen__aachen_35                          ,005, 98.8, 97.8, 99.8
aachen__aachen_35                          ,006, 96.7, 93.4, 100.0
aachen__aachen_35                          ,007, 99.7, 99.4, 99.9
aachen__aachen_35                          ,008, 96.3, 92.8, 99.9
aachen__aachen_36                          ,002, 97.7, 96.4, 99.1
aachen__aachen_36                          ,003, 95.8, 94.8, 96.8
aachen__aachen_36                          ,004, 98.5, 97.0, 100.0
aachen__aachen_36                          ,005, 98.5, 97.5, 99.5
aachen__aachen_36                          ,006, 98.1, 96.3, 100.0
aachen__aachen_36                          ,007, 98.9, 99.7, 98.1
aachen__aachen_36                          ,008, 98.8, 97.6, 100.0
aachen__aachen_37                          ,002, 90.5, 82.6, 98.4
aachen__aachen_37                          ,003, 90.1, 81.7, 98.5
aachen__aachen_37                          ,004, 96.5, 93.0, 99.9
aachen__aachen_37                          ,005, 92.1, 86.6, 97.6
aachen__aachen_37                          ,007, 99.9, 99.9, 100.0
aachen__aachen_37                          ,008, 97.8, 95.5, 100.0
aachen__aachen_39                          ,002, 92.9, 86.7, 99.1
